[2019-11-16 21:51:28.600] temperature (C), humidity (% relative), pressure (hPa)        
[2019-11-16 22:25:33.367] ,-3,22,1074                   
[2019-11-16 22:25:45.961] ,-3,22,1074                   
[2019-11-16 22:25:58.556] ,-3,22,1074                   
[2019-11-16 22:26:11.150] ,-3,22,1074                   
[2019-11-16 22:26:23.744] ,-3,22,1074                   
[2019-11-16 22:26:36.344] ,-3,22,1074                   
[2019-11-16 22:26:48.937] ,-3,23,1074                   
[2019-11-16 22:27:01.531] ,-3,22,1074                   
[2019-11-16 22:27:14.124] ,-3,22,1074                   
[2019-11-16 22:27:26.720] ,-3,22,1074                   
[2019-11-16 22:27:39.314] ,-3,22,1074                   
[2019-11-16 22:27:51.911] ,-3,23,1074                   
[2019-11-16 22:28:04.506] ,-3,23,1074                   
[2019-11-16 22:28:17.102] ,-3,22,1074                   
[2019-11-16 22:28:29.694] ,-3,22,1074                   
[2019-11-16 22:28:42.287] ,-3,22,1074                   
[2019-11-16 22:28:54.881] ,-3,22,1074                   
[2019-11-16 22:29:07.476] ,-3,22,1074                   
[2019-11-16 22:29:20.070] ,-3,23,1074                   
[2019-11-16 22:29:32.663] ,-3,22,1074                   
[2019-11-16 22:29:45.257] ,-3,22,1074                   
[2019-11-16 22:29:57.852] ,-3,22,1074                   
[2019-11-16 22:30:10.445] ,-3,22,1074                   
[2019-11-16 22:30:23.041] ,-3,22,1074                   
[2019-11-16 22:30:35.633] ,-3,22,1074                   
[2019-11-16 22:30:48.227] ,-3,22,1074                   
[2019-11-16 22:31:00.820] ,-3,22,1074                   
[2019-11-16 22:31:13.415] ,-3,23,1074                   
[2019-11-16 22:31:26.011] ,-3,22,1074                   
[2019-11-16 22:31:38.602] ,-3,22,1074                   
[2019-11-16 22:31:51.197] ,-3,22,1074                   
[2019-11-16 22:32:03.790] ,-3,23,1074                   
[2019-11-16 22:32:16.384] ,-3,23,1074                   
[2019-11-16 22:32:28.977] ,-3,23,1074                   
[2019-11-16 22:32:41.573] ,-3,23,1074                   
